repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
protocolbuffers/protobuf							226	TOO_BIG
mongodb/mongo							1347	TOO_BIG
ceph/ceph							910	TOO_BIG
qt/qtbase							867	TOO_BIG
grpc/grpc							611	TOO_BIG
TrinityCore/TrinityCore							1412	TOO_BIG
v8/v8							1212	TOO_BIG
abseil/abseil-cpp	5	5	0	0	0	0.0	0	CLEAN
google/angle							204	TOO_BIG
google/perfetto							238	TOO_BIG
facebook/fbthrift							289	TOO_BIG
facebook/hhvm							872	TOO_BIG
brave/brave-core							4400	TOO_BIG
blender/blender							945	TOO_BIG
XRPLF/rippled	1157	1162	8496	0	16	1.4	46	VIOLATION_KEPT
rapidsai/cudf							209	TOO_BIG
godotengine/godot							1821	TOO_BIG
microsoft/WSL	569	569	1490	8	12	2.1	56	VIOLATION_KEPT
openbabel/openbabel	480	480	1988	1	22	4.6	71	VIOLATION_KEPT
qt-creator/qt-creator							673	TOO_BIG
eranif/codelite							631	TOO_BIG
google/mozc							784	TOO_BIG
facebook/CacheLib	0	0	0	0	0		0	CLEAN
esphome/esphome	2586	2586	7776	1	53	2.0	69	VIOLATION_KEPT
KhronosGroup/SPIRV-Tools	0	0	0	0	0		0	CLEAN
gcc-mirror/gcc							4090	TOO_BIG
google/skia							1219	TOO_BIG
openvinotoolkit/openvino							937	TOO_BIG
apple/foundationdb							205	TOO_BIG
wpilibsuite/allwpilib	2121	2121	6028	34	58	2.7	123	VIOLATION_KEPT
percona/percona-server							5060	TOO_BIG
randombit/botan	1300	1300	121	0	41	3.2	39	VIOLATION_KEPT
CleverRaven/Cataclysm-DDA							12539	TOO_BIG
OvenMediaLabs/OvenMediaEngine	1451	1451	3855	3	39	2.7	38	VIOLATION_KEPT
envoyproxy/envoy							306	TOO_BIG
MariaDB/server							1673	TOO_BIG
amule-project/amule	455	455	2032	1	28	6.2	24	VIOLATION_KEPT
ClickHouse/ClickHouse							6828	TOO_BIG
electron/electron							203	TOO_BIG
facebook/react-native							970	TOO_BIG
ermig1979/Simd	12	12	0	0	2	16.7	43	VIOLATION_KEPT
scylladb/scylladb							264	TOO_BIG
KiCad/kicad-source-mirror							4085	TOO_BIG
LibreOffice/core							6195	TOO_BIG
Rust-GCC/gccrs							1601	TOO_BIG
ArduPilot/ardupilot							602	TOO_BIG
colmap/colmap	103	103	175	0	5	4.9	32	VIOLATION_KEPT
IfcOpenShell/IfcOpenShell							371	TOO_BIG
microsoft/react-native-windows							375	TOO_BIG
facebook/rocksdb							244	TOO_BIG
PCSX2/pcsx2							321	TOO_BIG
open-telemetry/opentelemetry-cpp	887	887	4676	0	21	2.4	16	VIOLATION_KEPT
shader-slang/slang	1423	1424	5200	3	43	3.0	68	VIOLATION_KEPT
opencv/opencv							559	TOO_BIG
sofa-framework/sofa							385	TOO_BIG
pytorch/FBGEMM	399	399	787	0	43	10.8	26	VIOLATION_KEPT
mysql/mysql-server							4795	TOO_BIG
crawl/crawl							330	TOO_BIG
haiku/haiku							475	TOO_BIG
facebookincubator/fizz	282	282	686	0	12	4.3	10	VIOLATION_KEPT
manticoresoftware/manticoresearch	662	662	2202	3	13	2.0	57	VIOLATION_KEPT
alibaba/MNN							329	TOO_BIG
harfbuzz/harfbuzz	134	134	148	0	5	3.7	48	VIOLATION_KEPT
MRPT/mrpt							306	TOO_BIG
dmlc/xgboost	316	316	1513	0	6	1.9	16	VIOLATION_KEPT
NixOS/nix	727	727	2833	1	5	0.7	66	VIOLATION_KEPT
FastLED/FastLED							300	TOO_BIG
microsoft/terminal	1103	1103	2462	2	28	2.5	64	VIOLATION_KEPT
domoticz/domoticz							412	TOO_BIG
sysown/proxysql							639	TOO_BIG
casadi/casadi	853	855	1761	1	32	3.8	26	VIOLATION_KEPT
Stellarium/stellarium							5832	TOO_BIG
contour-terminal/contour	237	238	756	2	5	2.1	20	VIOLATION_KEPT
hluk/CopyQ	320	320	944	0	1	0.3	12	VIOLATION_KEPT
mavlink/qgroundcontrol							535	TOO_BIG
microsoft/onnxruntime							1547	TOO_BIG
ros-navigation/navigation2	30	30	48	0	2	6.7	87	VIOLATION_KEPT
PaddlePaddle/Paddle							552	TOO_BIG
mixxxdj/mixxx							607	TOO_BIG
google/sandboxed-api	12	12	6	0	0	0.0	0	CLEAN
f4exb/sdrangel							250	TOO_BIG
multitheftauto/mtasa-blue							950	TOO_BIG
Z3Prover/z3	1898	1899	7994	0	67	3.5	45	VIOLATION_KEPT
ton-blockchain/ton	1240	1240	5310	1	53	4.3	49	VIOLATION_KEPT
mltframework/shotcut	396	396	1169	0	19	4.8	52	VIOLATION_KEPT
ETLCPP/etl	14	15	0	0	2	14.3	33	VIOLATION_KEPT
google/filament							1126	TOO_BIG
AcademySoftwareFoundation/OpenImageIO	239	239	1053	0	36	15.1	67	VIOLATION_KEPT
xbmc/xbmc							1648	TOO_BIG
intel/compute-runtime	3177	3177	12801	1	202	6.4	141	VIOLATION_KEPT
subsurface/subsurface	520	520	2336	0	12	2.3	41	VIOLATION_KEPT
cataclysmbn/Cataclysm-BN							7296	TOO_BIG
sorbet/sorbet							213	TOO_BIG
facebookresearch/faiss							279	TOO_BIG
nextcloud/desktop							668	TOO_BIG
facebook/proxygen	623	623	1240	0	21	3.4	17	VIOLATION_KEPT
idaholab/moose							763	TOO_BIG
wled/WLED	184	184	238	1	5	2.7	22	VIOLATION_KEPT
nasa/fprime							457	TOO_BIG
openthread/openthread	0	0	0	0	0		0	CLEAN
vnotex/vnote	803	803	2833	0	52	6.5	20	VIOLATION_KEPT
facebook/watchman	234	234	771	0	7	3.0	10	VIOLATION_KEPT
typesense/typesense	172	172	530	0	19	11.0	17	VIOLATION_KEPT
facebook/folly	1	1	0	0	0	0.0	0	CLEAN
facebook/wangle	0	0	0	0	0		0	CLEAN
facebook/mvfst	365	365	1299	0	20	5.5	18	VIOLATION_KEPT
KDE/kdeconnect-kde	279	279	549	0	6	2.2	20	VIOLATION_KEPT
yhirose/cpp-httplib	19	19	0	0	0	0.0	0	CLEAN
zeek/zeek							266	TOO_BIG
emscripten-core/emscripten							266	TOO_BIG
espressif/arduino-esp32							2233	TOO_BIG
apache/arrow							229	TOO_BIG
InsightSoftwareConsortium/ITK							225	TOO_BIG
cvxpy/cvxpy							225	TOO_BIG
CoolProp/CoolProp	248	248	577	2	13	5.2	36	VIOLATION_KEPT
ihhub/fheroes2	465	465	4231	0	13	2.8	75	VIOLATION_KEPT
microsoft/DirectXShaderCompiler	3202	3202	22101	1	132	4.1	140	VIOLATION_KEPT
apache/impala							240	TOO_BIG
capnproto/capnproto	9	9	0	0	0	0.0	0	CLEAN
apache/trafficserver	1705	1705	5819	2	63	3.7	69	VIOLATION_KEPT
NVIDIA/nccl	427	427	993	2	17	4.0	18	VIOLATION_KEPT
google/boringssl							387	TOO_BIG
wxWidgets/wxWidgets							444	TOO_BIG
mawww/kakoune	141	141	806	0	1	0.7	7	VIOLATION_KEPT
kokkos/kokkos	734	734	2303	5	66	9.0	25	VIOLATION_KEPT
jank-lang/jank	403	403	1526	2	9	2.2	13	VIOLATION_KEPT
zeux/meshoptimizer	52	52	51	0	9	17.3	5	VIOLATION_KEPT
uxlfoundation/oneTBB	30	30	32	0	1	3.3	20	VIOLATION_KEPT
sideeffects/SideFXLabs							1532	TOO_BIG
gem5/gem5							231	TOO_BIG
zcash/zcash	584	584	2212	0	28	4.8	26	VIOLATION_KEPT
OSGeo/PROJ							306	TOO_BIG
zeroc-ice/ice							223	TOO_BIG
uncrustify/uncrustify	289	289	748	0	20	6.9	21	VIOLATION_KEPT
TheHPXProject/hpx							421	TOO_BIG
texstudio-org/texstudio							316	TOO_BIG
dolphin-emu/dolphin							550	TOO_BIG
nomacs/nomacs	130	130	440	0	4	3.1	19	VIOLATION_KEPT
OGRECave/ogre							445	TOO_BIG
FEniCS/dolfinx	176	176	820	1	4	2.3	7	VIOLATION_KEPT
SerenityOS/serenity							241	TOO_BIG
SimpleITK/SimpleITK	18	18	6	0	2	11.1	9	VIOLATION_KEPT
Bitcoin-ABC/bitcoin-abc							316	TOO_BIG
actor-framework/actor-framework	1202	1202	5401	0	16	1.3	16	VIOLATION_KEPT
gerbera/gerbera	314	314	1404	0	10	3.2	64	VIOLATION_KEPT
ocornut/imgui	37	37	15	0	28	75.7	14	VIOLATION_KEPT
percona/percona-xtrabackup							4569	TOO_BIG
bitcoin/bitcoin							317	TOO_BIG
widelands/widelands							3251	TOO_BIG
meganz/sdk	882	882	2230	1	12	1.4	41	VIOLATION_KEPT
mfem/mfem							276	TOO_BIG
savoirfairelinux/opendht	78	78	206	0	2	2.6	4	VIOLATION_KEPT
Tencent/ncnn	2300	2300	3851	0	138	6.0	62	VIOLATION_KEPT
AcademySoftwareFoundation/MaterialX							236	TOO_BIG
google/tcmalloc	1	1	0	0	0	0.0	0	CLEAN
Chatterino/chatterino2	943	943	3123	0	11	1.2	16	VIOLATION_KEPT
revng/revng	1017	1017	3992	2	10	1.0	20	VIOLATION_KEPT
aardappel/lobster	148	150	379	1	2	1.4	92	VIOLATION_KEPT
apache/thrift	333	333	709	0	30	9.0	17	VIOLATION_KEPT
iree-org/iree							288	TOO_BIG
halide/Halide	877	877	2573	0	47	5.4	57	VIOLATION_KEPT
mpusz/mp-units	2	2	0	0	0	0.0	0	CLEAN
WasmEdge/WasmEdge								CLONE_FAIL
doxygen/doxygen	462	463	1911	0	38	8.2	40	VIOLATION_KEPT
Cockatrice/Cockatrice	928	928	2213	4	18	1.9	45	VIOLATION_KEPT
scylladb/seastar	392	392	1563	0	6	1.5	11	VIOLATION_KEPT
ispc/ispc	207	207	401	0	32	15.5	29	VIOLATION_KEPT
NVIDIA/DALI							539	TOO_BIG
librats/rats-search	69	69	122	0	4	5.8	5	VIOLATION_KEPT
diffblue/cbmc							1570	TOO_BIG
bpftrace/bpftrace	389	389	996	1	1	0.3	16	VIOLATION_KEPT
KDE/kwin							563	TOO_BIG
stellar/stellar-core	595	595	2977	2	14	2.4	58	VIOLATION_KEPT
xLightsSequencer/xLights							958	TOO_BIG
Icinga/icinga2	607	607	2905	5	28	4.6	18	VIOLATION_KEPT
facebook/openr	140	140	356	2	5	3.6	9	VIOLATION_KEPT
uxlfoundation/oneDAL	0	0	0	0	0		0	CLEAN
openvinotoolkit/model_server	3	3	2	0	0	0.0	0	CLEAN
uxlfoundation/oneDPL	167	167	370	0	18	10.8	39	VIOLATION_KEPT
gromacs/gromacs							431	TOO_BIG
tenzir/tenzir							2302	TOO_BIG
inviwo/inviwo							948	TOO_BIG
OpenMS/OpenMS							912	TOO_BIG
canonical/mir							222	TOO_BIG
googleapis/google-cloud-cpp							14271	TOO_BIG
hpcc-systems/HPCC-Platform							344	TOO_BIG
intel/intel-graphics-compiler	2012	2013	8795	5	97	4.8	112	VIOLATION_KEPT
MOLAorg/mola	95	95	118	0	16	16.8	6	VIOLATION_KEPT
swoole/phpx	250	250	590	0	1	0.4	8	VIOLATION_KEPT
reupen/columns_ui	296	296	787	1	16	5.4	7	VIOLATION_KEPT
xapian/xapian	598	600	2078	0	23	3.8	57	VIOLATION_KEPT
KDE/dolphin							378	TOO_BIG
openthread/ot-br-posix	0	0	0	0	0		0	CLEAN
DCMTK/dcmtk	2196	2196	7818	0	162	7.4	87	VIOLATION_KEPT
SteamTracking/GameTracking-Dota2							6703	TOO_BIG
Xilinx/XRT	760	760	2014	1	104	13.7	39	VIOLATION_KEPT
facebook/fboss	3124	3124	9530	4	83	2.7	208	VIOLATION_KEPT
OpenMPT/openmpt							227	TOO_BIG
AMReX-Codes/amrex	243	243	6	0	53	21.8	31	VIOLATION_KEPT
eclipse-omr/omr	2669	2669	14778	5	230	8.6	71	VIOLATION_KEPT
NeoGeographyToolkit/StereoPipeline							244	TOO_BIG
grumpycoders/pcsx-redux	268	268	671	1	13	4.9	53	VIOLATION_KEPT
MythTV/mythtv							561	TOO_BIG
rapidsai/rmm	130	130	372	0	2	1.5	5	VIOLATION_KEPT
msoos/cryptominisat	6	6	3	0	25	416.7	6	VIOLATION_KEPT
Bforartists/Bforartists							2668	TOO_BIG
LunarG/gfxreconstruct	1	1	0	0	0	0.0	0	CLEAN
scribusproject/scribus							814	TOO_BIG
