# AIDev C++ corpus — first run (2026-05-30)
# source: hao-li/AIDev all_repository.parquet | language=C++ | stars>=100 | size<500MB
# seed=42 deterministic shuffle, first 50 under 500MB
# columns: full_name<TAB>stars<TAB>size_kb
ika-rwth-aachen/mqtt_client	241	237
matsui528/rii	154	291
google/guetzli	12948	490
microsoft/pict	1342	637
brenocq/implot3d	970	729
Idov31/Nidhogg	2039	1408
microsoft/GSL	6462	1791
SverrirValgeirsson/Todour	138	2049
callstackincubator/react-native-fast-io	291	2320
allthingsida/qscripts	358	2325
razimantv/mazegenerator	1072	2365
Sh0ckFR/Universal-Dear-ImGui-Hook	404	4764
ESP32Async/ESPAsyncWebServer	296	7080
REhints/HexRaysCodeXplorer	2556	7961
microsoft/cpprestsdk	8194	11086
forntoh/LcdMenu	216	15492
Fighter19/CnC_Generals_Zero_Hour	106	15631
pyushkevich/itksnap	374	19183
pelicanmapping/rocky	173	19607
alpaka-group/alpaka	389	20316
log4cplus/log4cplus	1701	27226
proximafusion/vmecpp	189	34192
Tencent/ncnn	21846	35000
MikePopoloski/slang	799	36098
ornladios/ADIOS2	290	39910
PrismLauncher/PrismLauncher	7321	43230
Jij-Inc/OpenJij	112	53290
tesseract-ocr/tesseract	68523	53840
hoylabs/OpenDTU-OnBattery	433	67704
sannysanoff/SDRPlusPlusBrown	160	69818
open-telemetry/opentelemetry-cpp	1100	71223
lightvector/KataGo	4085	80134
keepassxreboot/keepassxc	23773	80202
getsentry/sentry-unreal	132	86154
REPALphilread/ReP_AL-3D-Lawn-Mower	110	87006
microsoft/onnxruntime-genai	772	91455
seladb/PcapPlusPlus	2954	94886
ArthurSonzogni/FTXUI	8551	103420
dotnet/diagnostics	1275	103555
opengisch/QField	1002	154035
optiscaler/OptiScaler	4298	165401
acts-project/acts	113	182765
tier4/scenario_simulator_v2	135	190539
effekseer/Effekseer	1567	220594
zeroc-ice/ice	2124	222793
AMICI-dev/AMICI	124	223971
FastLED/FastLED	7005	298440
bitcoin/bitcoin	84827	316485
hpcc-systems/HPCC-Platform	594	343493
ggml-org/llama.cpp	83729	404198
