scanned 553 files, 4147 fragments, 82946 candidate pairs
reported 390 pairs above threshold (9 whole-file clone group(s) suppressed)
  src/gui/ClientCompApplet.cpp:31-39  <->  src/gui/StripDeEssPanel.cpp:45-52  (EXACT, weighted=1, line=1)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/ClientTubeApplet.cpp:82-86  (EXACT, weighted=1, line=1)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/ClientReverbApplet.cpp:174-178  (EXACT, weighted=1, line=1)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/ClientPuduApplet.cpp:170-177  (EXACT, weighted=1, line=0.625)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/ClientGateEditor.cpp:192-196  (LITERAL, weighted=1, line=0.666667)
  src/gui/ClientGateApplet.cpp:67-69  <->  src/gui/StripDeEssPanel.cpp:73-75  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientGateApplet.cpp:30-38  <->  src/gui/StripDeEssPanel.cpp:45-52  (EXACT, weighted=1, line=1)
  src/gui/ClientChainWidget.cpp:740-743  <->  src/gui/ClientRxChainWidget.cpp:466-469  (EXACT, weighted=1, line=1)
  src/gui/ClientChainWidget.cpp:740-743  <->  src/gui/StripRxChainWidget.cpp:621-624  (EXACT, weighted=1, line=1)
  src/gui/ClientEqOutputFader.cpp:136-144  <->  src/gui/ClientLevelMeter.cpp:92-100  (RENAMED, weighted=1, line=0.636364)
  src/gui/ClientCompApplet.cpp:31-39  <->  src/gui/ClientDeEssApplet.cpp:29-37  (EXACT, weighted=1, line=1)
  src/gui/ClientCompApplet.cpp:31-39  <->  src/gui/ClientGateApplet.cpp:30-38  (EXACT, weighted=1, line=1)
  src/gui/AetherialAudioStrip.cpp:696-713  <->  src/gui/PropDashboardDialog.cpp:842-859  (MIXED, weighted=1, line=0.733333)
  src/gui/ClientCompApplet.cpp:44-54  <->  src/gui/ClientDeEssApplet.cpp:42-52  (LITERAL, weighted=1, line=0.833333)
  src/gui/ClientCompApplet.cpp:44-54  <->  src/gui/ClientGateApplet.cpp:43-55  (LITERAL, weighted=1, line=0.714286)
  src/gui/ClientCompApplet.cpp:66-68  <->  src/gui/ClientDeEssApplet.cpp:64-66  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientCompApplet.cpp:66-68  <->  src/gui/ClientGateApplet.cpp:67-69  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientCompApplet.cpp:66-68  <->  src/gui/StripDeEssPanel.cpp:73-75  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientCompApplet.cpp:153-157  <->  src/gui/ClientDeEssApplet.cpp:134-138  (EXACT, weighted=1, line=1)
  src/gui/ClientCompApplet.cpp:153-157  <->  src/gui/ClientGateApplet.cpp:154-158  (EXACT, weighted=1, line=1)
  src/gui/ClientCompApplet.cpp:153-157  <->  src/gui/ClientGateEditor.cpp:192-196  (LITERAL, weighted=1, line=0.666667)
  src/gui/ClientCompApplet.cpp:153-157  <->  src/gui/ClientPuduApplet.cpp:170-177  (EXACT, weighted=1, line=0.625)
  src/gui/ClientChainWidget.cpp:295-302  <->  src/gui/ClientRxChainWidget.cpp:199-206  (EXACT, weighted=1, line=1)
  src/gui/ClientChainWidget.cpp:295-302  <->  src/gui/StripRxChainWidget.cpp:254-261  (RENAMED, weighted=1, line=0.777778)
  src/gui/ClientDeEssApplet.cpp:29-37  <->  src/gui/StripDeEssPanel.cpp:45-52  (EXACT, weighted=1, line=1)
  src/gui/ClientDeEssApplet.cpp:134-138  <->  src/gui/StripReverbPanel.cpp:211-215  (LITERAL, weighted=1, line=0.666667)
  src/gui/ClientDeEssApplet.cpp:152-154  <->  src/gui/ClientPuduApplet.cpp:226-228  (EXACT, weighted=1, line=1)
  src/gui/ClientDeEssApplet.cpp:64-66  <->  src/gui/StripDeEssPanel.cpp:73-75  (EXACT, weighted=1, line=0.5)
  src/gui/ClientDeEssApplet.cpp:152-154  <->  src/gui/StripDeEssPanel.cpp:152-154  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientDeEssApplet.cpp:152-154  <->  src/gui/StripPuduPanel.cpp:232-234  (EXACT, weighted=1, line=1)
  src/gui/ClientDisconnectDialog.cpp:177-190  <->  src/gui/ConnectedStationsDialog.cpp:211-224  (EXACT, weighted=1, line=1)
  src/gui/ClientCompThresholdFader.cpp:156-168  <->  src/gui/ClientEqOutputFader.cpp:168-180  (EXACT, weighted=1, line=1)
  src/gui/ClientCompThresholdFader.cpp:156-168  <->  src/gui/ClientLevelMeter.cpp:125-137  (RENAMED, weighted=1, line=0.692308)
  src/gui/ClientCompApplet.cpp:153-157  <->  src/gui/ClientPuduEditor.cpp:173-179  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientCompThresholdFader.cpp:225-231  <->  src/gui/ClientEqOutputFader.cpp:229-235  (EXACT, weighted=1, line=1)
  src/gui/ClientDeEssApplet.cpp:29-37  <->  src/gui/ClientGateApplet.cpp:30-38  (EXACT, weighted=1, line=1)
  src/gui/ClientChainWidget.cpp:314-318  <->  src/gui/ClientRxChainWidget.cpp:213-217  (EXACT, weighted=1, line=1)
  src/gui/DxClusterDialog.cpp:2111-2113  <->  src/gui/SpotSettingsDialog.cpp:175-177  (RENAMED, weighted=1, line=0.5)
  src/gui/ClientDeEssApplet.cpp:64-66  <->  src/gui/ClientGateApplet.cpp:67-69  (LITERAL, weighted=1, line=0.5)
  src/gui/AtuPreTuneCenters.h:24-39  <->  src/gui/AtuPreTuneDialog.cpp:79-94  (EXACT, weighted=1, line=1)
  src/gui/AudioDeviceChangeDialog.cpp:74-77  <->  src/gui/MainWindow.cpp:235-238  (EXACT, weighted=1, line=1)
  src/gui/AudioDeviceChangeDialog.cpp:332-349  <->  src/gui/PropDashboardDialog.cpp:842-859  (LITERAL, weighted=1, line=0.857143)
  src/gui/ClientChainWidget.cpp:103-121  <->  src/gui/ClientRxChainWidget.cpp:89-105  (STRUCTURAL, weighted=1, line=0.789474)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/ClientPuduEditor.cpp:173-179  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/StripReverbPanel.cpp:211-215  (LITERAL, weighted=1, line=0.666667)
  src/gui/AetherialAudioStrip.cpp:696-713  <->  src/gui/AudioDeviceChangeDialog.cpp:332-349  (MIXED, weighted=1, line=0.733333)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/StripPuduPanel.cpp:177-183  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientGateApplet.cpp:154-158  <->  src/gui/StripGatePanel.cpp:218-222  (LITERAL, weighted=1, line=0.666667)
  src/gui/ClientRxChainWidget.cpp:582-596  <->  src/gui/StripRxChainWidget.cpp:291-305  (EXACT, weighted=1, line=1)
  src/gui/ClientReverbApplet.cpp:82-84  <->  src/gui/StripReverbPanel.cpp:104-106  (EXACT, weighted=1, line=1)
  src/gui/ClientReverbApplet.cpp:49-52  <->  src/gui/StripReverbPanel.cpp:61-64  (EXACT, weighted=1, line=1)
  src/core/EvdevEncoderManager.cpp:44-51  <->  src/core/UlanziDialMacOSManager.cpp:62-68  (EXACT, weighted=1, line=0.666667)
  src/core/EvdevEncoderManager.cpp:44-51  <->  src/core/UlanziDialWindowsManager.cpp:64-70  (EXACT, weighted=1, line=0.666667)
  src/core/EvdevEncoderManager.cpp:56-66  <->  src/core/UlanziDialMacOSManager.cpp:73-83  (EXACT, weighted=1, line=1)
  src/core/EvdevEncoderManager.cpp:56-66  <->  src/core/UlanziDialWindowsManager.cpp:75-85  (EXACT, weighted=1, line=1)
  src/gui/ClientPuduEditor.cpp:396-402  <->  src/gui/StripDeEssPanel.cpp:403-409  (LITERAL, weighted=1, line=0.75)
  src/core/PgxlConnection.cpp:57-68  <->  src/core/TgxlConnection.cpp:62-73  (EXACT, weighted=1, line=1)
  src/gui/ClientTubeApplet.cpp:82-86  <->  src/gui/StripGatePanel.cpp:218-222  (LITERAL, weighted=1, line=0.666667)
  src/gui/ClientTubeApplet.cpp:82-86  <->  src/gui/StripPuduPanel.cpp:177-183  (LITERAL, weighted=1, line=0.5)
  src/gui/ClientTubeApplet.cpp:82-86  <->  src/gui/StripReverbPanel.cpp:211-215  (LITERAL, weighted=1, line=0.666667)
  src/gui/ClientReverbApplet.cpp:99-110  <->  src/gui/StripReverbPanel.cpp:126-137  (EXACT, weighted=1, line=1)
  src/gui/ClientTubeEditor.cpp:458-464  <->  src/gui/StripDeEssPanel.cpp:403-409  (LITERAL, weighted=1, line=0.75)
  src/gui/ClientTubeEditor.cpp:458-464  <->  src/gui/StripGatePanel.cpp:511-517  (LITERAL, weighted=1, line=0.75)
  src/gui/ClientTubeEditor.cpp:458-464  <->  src/gui/StripPuduPanel.cpp:403-409  (LITERAL, weighted=1, line=0.75)
  src/gui/ThemeEditorDialog.cpp:49-66  <->  src/gui/TokenEditorWidget.cpp:74-89  (EXACT, weighted=1, line=1)
  src/models/RadioModel.cpp:163-165  <->  src/models/RadioStatusOwnership.h:89-91  (EXACT, weighted=1, line=1)
  src/gui/ClientRxChainWidget.cpp:89-105  <->  src/gui/StripChainWidget.cpp:103-121  (STRUCTURAL, weighted=1, line=0.789474)
  src/gui/ClientPuduEditor.cpp:388-391  <->  src/gui/ClientTubeEditor.cpp:450-453  (LITERAL, weighted=1, line=0.6)
  src/core/ClientPuduMonitor.cpp:246-259  <->  src/core/QsoRecorder.cpp:390-402  (EXACT, weighted=1, line=0.916667)
  src/gui/ClientTubeEditor.cpp:450-453  <->  src/gui/StripDeEssPanel.cpp:395-398  (LITERAL, weighted=1, line=0.6)
  src/gui/ClientTubeEditor.cpp:450-453  <->  src/gui/StripPuduPanel.cpp:395-398  (LITERAL, weighted=1, line=0.6)
  src/gui/ClientPuduEditor.cpp:388-391  <->  src/gui/StripDeEssPanel.cpp:395-398  (LITERAL, weighted=1, line=0.6)
  src/gui/ClientRxChainWidget.cpp:582-596  <->  src/gui/StripChainWidget.cpp:356-370  (EXACT, weighted=1, line=1)
  src/gui/ClientChainWidget.cpp:357-371  <->  src/gui/ClientRxChainWidget.cpp:582-596  (EXACT, weighted=1, line=1)
  src/gui/ClientChainWidget.cpp:357-371  <->  src/gui/StripRxChainWidget.cpp:291-305  (EXACT, weighted=1, line=1)
  src/gui/StripDeEssPanel.cpp:403-409  <->  src/gui/StripGatePanel.cpp:511-517  (LITERAL, weighted=1, line=0.75)
  src/gui/ClientEqOutputFader.cpp:168-180  <->  src/gui/ClientLevelMeter.cpp:125-137  (RENAMED, weighted=1, line=0.692308)
  src/gui/ConnectionPanel.cpp:663-676  <->  src/gui/RadioSetupDialog.cpp:259-272  (MIXED, weighted=1, line=0.714286)
  src/gui/ClientRxChainWidget.cpp:213-217  <->  src/gui/StripChainWidget.cpp:313-317  (EXACT, weighted=1, line=1)
  src/gui/ClientRxChainWidget.cpp:199-206  <->  src/gui/StripRxChainWidget.cpp:254-261  (RENAMED, weighted=1, line=0.777778)
  src/gui/ClientRxChainWidget.cpp:199-206  <->  src/gui/StripChainWidget.cpp:294-301  (EXACT, weighted=1, line=1)
  src/gui/ClientRxChainWidget.cpp:466-469  <->  src/gui/StripRxChainWidget.cpp:621-624  (EXACT, weighted=1, line=1)
  src/gui/ClientRxChainWidget.cpp:466-469  <->  src/gui/StripChainWidget.cpp:740-743  (EXACT, weighted=1, line=1)
  src/gui/ConnectionPanel.cpp:663-676  <->  src/gui/ProfileImportExportDialog.cpp:188-202  (MIXED, weighted=1, line=0.714286)
  src/gui/ClientDeEssApplet.cpp:42-52  <->  src/gui/ClientGateApplet.cpp:43-55  (LITERAL, weighted=1, line=0.714286)
