scanned 1692 files, 19341 fragments, 319471 candidate pairs
reported 1152 pairs above threshold (9 whole-file clone group(s) suppressed)
  src/slic3r/GUI/ConfigWizard.cpp:2334-2349  <->  src/slic3r/GUI/WebGuideDialog.cpp:789-804  (EXACT, weighted=1, line=0.75)
  src/slic3r/GUI/SelectMachine.cpp:4662-4666  <->  src/slic3r/GUI/SyncAmsInfoDialog.cpp:2988-2992  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/AmsMappingPopup.cpp:1165-1168  <->  src/slic3r/GUI/Widgets/FanControl.cpp:944-947  (EXACT, weighted=1, line=1)
  src/ag/customcut/ColorCutCoordinator.cpp:18-29  <->  src/ag/warpcut/WarpCutCoordinator.cpp:15-26  (EXACT, weighted=1, line=1)
  src/eigen/Eigen/src/Core/arch/AltiVec/Complex.h:244-246  <->  src/eigen/Eigen/src/Core/arch/ZVector/Complex.h:374-376  (RENAMED, weighted=1, line=0.5)
  src/ag/warpcut/WarpCutGeometryBackend.cpp:41-44  <->  src/slic3r/GUI/Gizmos/GLGizmoWarpCut.cpp:45-48  (EXACT, weighted=1, line=1)
  src/ag/warpcut/WarpCutGeometryBackend.cpp:105-122  <->  src/ag/warpcut/WarpCutSurfaceClassifier.cpp:13-30  (EXACT, weighted=1, line=1)
  src/ag/warpcut/WarpCutGeometryBackend.cpp:127-132  <->  src/ag/warpcut/WarpCutSurfaceClassifier.cpp:35-40  (EXACT, weighted=1, line=1)
  src/ag/warpcut/WarpCutGeometryBackend.cpp:31-36  <->  src/slic3r/GUI/Gizmos/GLGizmoWarpCut.cpp:35-40  (EXACT, weighted=1, line=1)
  src/eigen/Eigen/src/Core/arch/AltiVec/Complex.h:92-95  <->  src/eigen/Eigen/src/Core/arch/ZVector/Complex.h:124-127  (EXACT, weighted=1, line=1)
  src/eigen/Eigen/src/Core/arch/AltiVec/Complex.h:85-88  <->  src/eigen/Eigen/src/Core/arch/ZVector/Complex.h:113-116  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/SelectMachine.cpp:4775-4781  <->  src/slic3r/GUI/SyncAmsInfoDialog.cpp:3122-3127  (LITERAL, weighted=1, line=0.5)
  src/libslic3r/Format/3mf.cpp:3240-3246  <->  src/libslic3r/Format/bbs_3mf.cpp:8802-8808  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/CapsuleButton.cpp:101-108  <->  src/slic3r/GUI/PurgeModeDialog.cpp:293-300  (STRUCTURAL, weighted=1, line=0.6)
  src/libslic3r/Format/STEP.cpp:549-554  <->  src/libslic3r/Format/svg.cpp:318-323  (EXACT, weighted=1, line=1)
  src/libslic3r/Format/STEP.cpp:549-554  <->  src/libslic3r/Shape/TextShape.cpp:168-173  (EXACT, weighted=1, line=1)
  src/libslic3r/Format/bbs_3mf.cpp:87-98  <->  src/slic3r/GUI/GUI_App.cpp:1573-1584  (EXACT, weighted=1, line=0.666667)
