scanned 417 files, 3303 fragments, 75226 candidate pairs
reported 149 pairs above threshold (1 whole-file clone group(s) suppressed)
  GWToolboxdll/Modules/InventoryManager.cpp:202-202  <->  GWToolboxdll/Windows/InventorySorting.cpp:48-48  (EXACT, weighted=1, line=1)
  GWToolboxdll/Utils/TextUtils.cpp:599-615  <->  plugins/Base/PluginUtils.cpp:423-439  (RENAMED, weighted=1, line=0.733333)
  GWToolboxdll/Utils/TextUtils.cpp:470-482  <->  plugins/Base/PluginUtils.cpp:336-348  (EXACT, weighted=1, line=1)
  GWToolboxdll/Widgets/BondsWidget.cpp:338-341  <->  GWToolboxdll/Widgets/SkillMonitorWidget.cpp:228-231  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/SkillListingWindow.cpp:22-27  <->  GWToolboxdll/Windows/StringDecoderWindow.cpp:18-23  (EXACT, weighted=1, line=1)
  GWToolboxdll/Modules/ChatCommands.cpp:123-123  <->  GWToolboxdll/Modules/InventoryManager.cpp:202-202  (EXACT, weighted=1, line=1)
  GWToolboxdll/Modules/ChatCommands.cpp:123-123  <->  GWToolboxdll/Windows/InventorySorting.cpp:48-48  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/PartySearchWindow.cpp:844-853  <->  GWToolboxdll/Windows/TradeWindow.cpp:816-825  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/PartySearchWindow.cpp:806-814  <->  GWToolboxdll/Windows/TradeWindow.cpp:763-771  (EXACT, weighted=1, line=1)
  GWToolboxdll/Widgets/BondsWidget.cpp:338-341  <->  GWToolboxdll/Widgets/PartyDamage.cpp:614-617  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/PartySearchWindow.cpp:58-59  <->  GWToolboxdll/Windows/TradeWindow.cpp:73-74  (EXACT, weighted=1, line=1)
  GWToolboxdll/Modules/GwDatTextureModule.cpp:82-94  <->  GWToolboxdll/Unused/GWFileRequester.cpp:31-43  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/PacketLoggerWindow.cpp:171-176  <->  GWToolboxdll/Windows/StringDecoderWindow.cpp:18-23  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/PacketLoggerWindow.cpp:171-176  <->  GWToolboxdll/Windows/SkillListingWindow.cpp:22-27  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/PacketLoggerWindow.cpp:43-44  <->  GWToolboxdll/Windows/TradeWindow.cpp:73-74  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/PacketLoggerWindow.cpp:43-44  <->  GWToolboxdll/Windows/PartySearchWindow.cpp:58-59  (EXACT, weighted=1, line=1)
  GWToolboxdll/Widgets/PartyDamage.cpp:614-617  <->  GWToolboxdll/Widgets/SkillMonitorWidget.cpp:228-231  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/AccountInventoryWindow.cpp:117-117  <->  GWToolboxdll/Windows/RerollWindow.cpp:117-117  (EXACT, weighted=1, line=1)
  GWToolboxdll/Windows/DupingWindow.cpp:59-65  <->  GWToolboxdll/Windows/EnemyWindow.cpp:97-103  (EXACT, weighted=1, line=0.75)
  GWToolboxdll/GWToolbox.cpp:73-74  <->  GWToolboxdll/Windows/PerformanceWindow.cpp:15-16  (EXACT, weighted=1, line=1)
  GWToolboxdll/Modules/Teamspeak5Module.cpp:202-226  <->  GWToolboxdll/Modules/TeamspeakModule.cpp:373-397  (RENAMED, weighted=1, line=0.818182)
  GWToolboxdll/Utils/TextUtils.cpp:655-663  <->  plugins/Base/PluginUtils.cpp:654-662  (EXACT, weighted=1, line=1)
  GWToolboxdll/Utils/GuiUtils.cpp:188-193  <->  plugins/Base/PluginUtils.cpp:112-117  (EXACT, weighted=1, line=1)
  GWToolboxdll/Utils/GuiUtils.cpp:347-363  <->  plugins/Base/PluginUtils.cpp:512-528  (EXACT, weighted=1, line=1)
  GWToolboxdll/Utils/GuiUtils.cpp:368-370  <->  plugins/Base/PluginUtils.cpp:533-535  (EXACT, weighted=1, line=1)
