scanned 618 files, 1688 fragments, 29584 candidate pairs
reported 116 pairs above threshold (0 whole-file clone group(s) suppressed)
  engine/prefabs/irreden/render/systems/system_widget_render_checkbox.hpp:32-76  <->  engine/prefabs/irreden/render/systems/system_widget_render_radio.hpp:40-84  (RENAMED, weighted=1, line=0.526316)
  cmake/lua_codegen/main.cpp:91-97  <->  cmake/lua_codegen/system_dsl.cpp:867-873  (LITERAL, weighted=1, line=0.75)
  creations/demos/gpu_particles/main.cpp:107-120  <->  creations/demos/stateless_particles/main.cpp:128-141  (LITERAL, weighted=1, line=0.818182)
  creations/demos/lua_perf_grid/main_lua.cpp:107-110  <->  creations/demos/perf_grid/main.cpp:173-176  (EXACT, weighted=1, line=1)
  creations/demos/lua_perf_grid/main_lua.cpp:206-212  <->  creations/demos/perf_grid/main.cpp:364-370  (EXACT, weighted=1, line=1)
  creations/demos/modifier_demo/main.cpp:514-519  <->  creations/demos/perf_grid/main.cpp:702-707  (EXACT, weighted=1, line=1)
  creations/demos/lua_perf_grid/main_lua.cpp:291-313  <->  creations/demos/perf_grid/main.cpp:488-513  (EXACT, weighted=1, line=0.642857)
  creations/demos/lua_perf_grid/main_lua.cpp:216-217  <->  creations/demos/perf_grid/main.cpp:399-400  (EXACT, weighted=1, line=1)
  engine/prefabs/irreden/render/systems/system_framebuffer_to_screen.hpp:136-144  <->  engine/prefabs/irreden/render/systems/system_screen_residual_rotate.hpp:144-151  (STRUCTURAL, weighted=0.992771, line=0.666667)
  engine/prefabs/irreden/audio/systems/system_contact_midi_trigger.hpp:23-52  <->  engine/prefabs/irreden/audio/systems/system_periodic_idle_midi_trigger.hpp:23-53  (STRUCTURAL, weighted=0.986528, line=0.62963)
  creations/demos/default/main.cpp:38-46  <->  creations/editors/font_maker/main.cpp:44-52  (STRUCTURAL, weighted=0.983275, line=0.555556)
  creations/demos/lowres_pan/main.cpp:72-103  <->  creations/demos/sprite_demo/main.cpp:56-87  (STRUCTURAL, weighted=0.970961, line=0.75)
  engine/prefabs/irreden/render/entities/entity_trixel_canvas.hpp:15-32  <->  engine/prefabs/irreden/render/entities/entity_voxel_pool_canvas.hpp:23-42  (STRUCTURAL, weighted=0.925168, line=0.636364)
  creations/demos/lowres_pan/main.cpp:72-103  <->  creations/demos/z_yaw_rotation/main_static.cpp:64-96  (STRUCTURAL, weighted=0.902473, line=0.821429)
  engine/prefabs/irreden/render/systems/system_framebuffer_to_screen.hpp:37-47  <->  engine/prefabs/irreden/render/systems/system_screen_residual_rotate.hpp:39-51  (STRUCTURAL, weighted=0.900744, line=0.5)
  creations/demos/sprite_demo/main.cpp:56-87  <->  creations/demos/z_yaw_rotation/main_static.cpp:64-96  (STRUCTURAL, weighted=0.876265, line=0.724138)
  creations/editors/voxel_editor/scene_io.hpp:66-73  <->  engine/world/src/chunk_residency.cpp:39-45  (EXACT, weighted=0.85, line=1)
  engine/prefabs/irreden/common/systems/system_global_modifier_decay.hpp:22-44  <->  engine/prefabs/irreden/common/systems/system_modifier_decay.hpp:26-48  (RENAMED, weighted=0.85, line=0.727273)
  creations/demos/lowres_pan/main.cpp:72-103  <->  creations/demos/stateless_particles/main.cpp:145-177  (STRUCTURAL, weighted=0.840348, line=0.65625)
  creations/demos/z_yaw_rotation/main_static.cpp:53-60  <->  creations/editors/font_maker/main.cpp:44-52  (STRUCTURAL, weighted=0.834088, line=0.5)
