scanned 693 files, 2385 fragments, 51657 candidate pairs
reported 62 pairs above threshold (8 whole-file clone group(s) suppressed)
  src/modules/input/navigation/backgroundvideowidget.cpp:133-138  <->  src/modules/input/navigation/vignetteoverlay.cpp:73-78  (EXACT, weighted=1, line=1)
  src/ui/widgets/overlays/detailpageoverlay.cpp:566-569  <->  src/ui/widgets/overlays/textzoomhud.cpp:129-132  (EXACT, weighted=1, line=1)
  src/ui/widgets/overlays/detailpageoverlay.cpp:566-569  <->  src/ui/widgets/overlays/nowplayingoverlay.cpp:188-191  (EXACT, weighted=1, line=1)
  src/utils/db/itemartwork.cpp:238-257  <->  src/utils/db/itemmetadata.cpp:299-317  (MIXED, weighted=1, line=0.5)
  src/chrome/media/videopreviewwidget.cpp:162-171  <->  src/ui/widgets/overlays/startupvideooverlay.cpp:103-112  (EXACT, weighted=1, line=1)
  src/ui/widgets/overlays/nowplayingoverlay.cpp:166-179  <->  src/ui/widgets/overlays/splashoverlay.cpp:220-233  (LITERAL, weighted=1, line=0.714286)
  src/ui/widgets/overlays/nowplayingoverlay.cpp:188-191  <->  src/ui/widgets/overlays/textzoomhud.cpp:129-132  (EXACT, weighted=1, line=1)
  src/ui/widgets/overlays/nowplayingoverlay.cpp:195-212  <->  src/ui/widgets/overlays/splashoverlay.cpp:254-271  (EXACT, weighted=1, line=1)
  src/ui/widgets/overlays/detailpageoverlay.cpp:379-387  <->  src/ui/widgets/panes/detailspanegalleryview.cpp:209-217  (RENAMED, weighted=1, line=0.555556)
  src/modules/input/selection/selectionmanager.h:251-253  <->  src/utils/db/itemmetadatacache.cpp:18-20  (LITERAL, weighted=1, line=0.5)
  src/ui/widgets/overlays/detailpageoverlay.cpp:473-485  <->  src/ui/widgets/panes/detailspane.cpp:916-928  (EXACT, weighted=1, line=1)
  src/ui/dialogs/collection/createcollectiondialog.cpp:161-164  <->  src/ui/dialogs/launcher/launchereditordialog.cpp:85-88  (EXACT, weighted=1, line=1)
  src/modules/data/settings/settingsmanagercollections.cpp:202-206  <->  src/utils/app/collection/collectionscalars_persistence.cpp:42-46  (EXACT, weighted=1, line=1)
  src/modules/input/navigation/backdropbluroverlay.cpp:81-84  <->  src/modules/input/navigation/vignetteoverlay.cpp:66-69  (EXACT, weighted=1, line=1)
  src/modules/input/navigation/backdropbluroverlay.cpp:69-74  <->  src/modules/input/navigation/vignetteoverlay.cpp:73-78  (EXACT, weighted=1, line=1)
  src/modules/input/navigation/backdropbluroverlay.cpp:69-74  <->  src/modules/input/navigation/backgroundvideowidget.cpp:133-138  (EXACT, weighted=1, line=1)
  src/utils/app/collection/presentationprofile.cpp:138-157  <->  src/utils/app/collection/themepreset.cpp:314-332  (LITERAL, weighted=1, line=0.5)
  src/ui/dialogs/scraper/scrapercredentialspanel.cpp:21-27  <->  src/ui/dialogs/scraper/scrapersettingspanel.cpp:40-46  (EXACT, weighted=1, line=1)
  src/modules/input/navigation/backdropbluroverlay.cpp:53-65  <->  src/modules/input/navigation/headerlogooverlay.cpp:221-230  (RENAMED, weighted=1, line=0.642857)
  src/modules/data/scraper/providers/screenscrapermediatypecache.cpp:182-187  <->  src/modules/data/scraper/providers/screenscrapersystemcache.cpp:240-245  (EXACT, weighted=1, line=1)
  src/ui/dialogs/scraper/result/batchprogressview.cpp:19-33  <->  src/ui/dialogs/scraper/result/scraperesultdialog.cpp:674-688  (STRUCTURAL, weighted=0.995321, line=0.866667)
  src/ui/dialogs/settings/appearance/layoutprofilesdialog.cpp:75-94  <->  src/ui/dialogs/settings/appearance/presentationprofilesdialog.cpp:71-88  (STRUCTURAL, weighted=0.995197, line=0.722222)
  src/modules/input/interaction/interactionmanagerselection.cpp:355-363  <->  src/modules/input/selection/selectionmanager.cpp:459-467  (STRUCTURAL, weighted=0.974502, line=0.777778)
  src/ui/widgets/overlays/detailpageoverlay.cpp:491-502  <->  src/ui/widgets/panes/detailspane.cpp:970-981  (STRUCTURAL, weighted=0.965967, line=0.833333)
  src/ui/dialogs/settings/appearance/layoutprofilesdialog.cpp:103-105  <->  src/ui/dialogs/settings/appearance/presentationprofilesdialog.cpp:96-98  (STRUCTURAL, weighted=0.960337, line=0.5)
  src/ui/dialogs/collection/createcollectiondialog.cpp:269-282  <->  src/ui/dialogs/launcher/launchereditordialog.cpp:185-201  (STRUCTURAL, weighted=0.953467, line=0.8)
  src/modules/data/settings/collectionhierarchybuilder.cpp:53-70  <->  src/modules/data/settings/settingsmanagercollections.cpp:91-114  (STRUCTURAL, weighted=0.909061, line=0.733333)
  src/modules/input/interaction/interactionmanagerenter.cpp:185-188  <->  src/modules/input/viewport/viewportmanagervisibility.cpp:175-178  (STRUCTURAL, weighted=0.890859, line=0.6)
  src/modules/data/scraper/providers/musicbrainzprovider.cpp:60-83  <->  src/modules/data/scraper/providers/openlibraryprovider.cpp:49-80  (STRUCTURAL, weighted=0.873105, line=0.5)
  src/ui/widgets/overlays/nowplayingoverlay.cpp:143-162  <->  src/ui/widgets/overlays/splashoverlay.cpp:167-192  (STRUCTURAL, weighted=0.861507, line=0.888889)
  src/modules/input/event/eventhelpers.cpp:9-17  <->  src/ui/widgets/overlays/splashoverlay.cpp:280-287  (STRUCTURAL, weighted=0.853963, line=0.545455)
  src/ui/dialogs/settings/appearance/layoutprofilesdialog.cpp:19-58  <->  src/ui/dialogs/settings/appearance/presentationprofilesdialog.cpp:19-57  (STRUCTURAL, weighted=0.848588, line=0.595238)
  src/modules/input/interaction/interactionmanagerselection.cpp:162-170  <->  src/modules/input/selection/selectionmanagerclick.cpp:330-336  (STRUCTURAL, weighted=0.841243, line=0.666667)
  src/ui/widgets/overlays/nowplayingoverlay.cpp:108-139  <->  src/ui/widgets/overlays/splashoverlay.cpp:131-163  (STRUCTURAL, weighted=0.83742, line=0.633333)
  src/modules/data/database/databasemanager.cpp:722-729  <->  src/modules/data/database/databasemanager.cpp:750-757  (RENAMED, weighted=0.8, line=0.6)
