scanned 719 files, 3673 fragments, 66759 candidate pairs
reported 467 pairs above threshold (16 whole-file clone group(s) suppressed)
  source/Irrlicht/CMeshSceneNode.cpp:302-312  <->  source/Irrlicht/CSphereSceneNode.cpp:86-96  (EXACT, weighted=1, line=1)
  source/Irrlicht/CCubeSceneNode.cpp:155-165  <->  source/Irrlicht/COctreeSceneNode.cpp:313-323  (EXACT, weighted=1, line=1)
  source/Irrlicht/CCubeSceneNode.cpp:155-165  <->  source/Irrlicht/CQuake3ShaderSceneNode.cpp:528-538  (EXACT, weighted=1, line=1)
  source/Irrlicht/CCubeSceneNode.cpp:155-165  <->  source/Irrlicht/CSphereSceneNode.cpp:86-96  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceWinCE.h:189-203  <->  source/Irrlicht/MacOSX/CIrrDeviceMacOSX.h:200-214  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D8NormalMapRenderer.cpp:204-239  <->  source/Irrlicht/CD3D9NormalMapRenderer.cpp:262-298  (EXACT, weighted=1, line=0.961538)
  source/Irrlicht/CQuake3ShaderSceneNode.cpp:528-538  <->  source/Irrlicht/CSphereSceneNode.cpp:86-96  (EXACT, weighted=1, line=1)
  source/Irrlicht/CPakReader.cpp:186-190  <->  source/Irrlicht/CWADReader.cpp:257-261  (EXACT, weighted=1, line=1)
  source/Irrlicht/CPakReader.cpp:186-190  <->  source/Irrlicht/CTarReader.cpp:255-259  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraud.cpp:70-74  <->  source/Irrlicht/CTRTextureGouraudNoZ.cpp:69-73  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraud.cpp:70-74  <->  source/Irrlicht/CTRTextureGouraudWire.cpp:70-74  (EXACT, weighted=1, line=1)
  source/Irrlicht/COpenGLNormalMapRenderer.cpp:158-202  <->  source/Irrlicht/COpenGLParallaxMapRenderer.cpp:192-236  (MIXED, weighted=1, line=0.705882)
  source/Irrlicht/CCubeSceneNode.cpp:155-165  <->  source/Irrlicht/CMeshSceneNode.cpp:302-312  (EXACT, weighted=1, line=1)
  source/Irrlicht/CMeshSceneNode.cpp:302-312  <->  source/Irrlicht/CQuake3ShaderSceneNode.cpp:528-538  (EXACT, weighted=1, line=1)
  source/Irrlicht/COctreeSceneNode.cpp:313-323  <->  source/Irrlicht/CSphereSceneNode.cpp:86-96  (EXACT, weighted=1, line=1)
  source/Irrlicht/COctreeSceneNode.cpp:313-323  <->  source/Irrlicht/CQuake3ShaderSceneNode.cpp:528-538  (EXACT, weighted=1, line=1)
  source/Irrlicht/CMeshSceneNode.cpp:302-312  <->  source/Irrlicht/COctreeSceneNode.cpp:313-323  (EXACT, weighted=1, line=1)
  source/Irrlicht/CNPKReader.cpp:257-261  <->  source/Irrlicht/CWADReader.cpp:257-261  (EXACT, weighted=1, line=1)
